Obs,cohort,label_cohort,cohort_years,dod_occ_code_level,dod_occ_code,label_dod_occ_code,ind_level,industry,label_industry,y1_emp,y5_emp,y10_emp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings,status_y1_emp,status_y5_emp,status_y10_emp,status_y1_earn,status_y5_earn,status_y10_earn
1,0,2000-2015,16,A,0,All occupations,A,0,All NAICS sectors,312300,262900,155000,23330,31130,36480,34630,45420,52620,51030,65130,75520,1,1,1,1,1,1
2,0,2000-2015,16,A,0,All occupations,N,11,"Agriculture, Forestry, Fishing and Hunting",1088,671.5,400,20130,24050,25610,27270,33950,36290,36580,46210,47560,1,1,1,1,1,1
3,0,2000-2015,16,A,0,All occupations,N,21,"Mining, Quarrying, and Oil and Gas Extraction",4997,3611,2219,36790,49120,56620,53390,69690,81010,71520,93120,109000,1,1,1,1,1,1
4,0,2000-2015,16,A,0,All occupations,N,22,Utilities,1492,1892,1420,30880,44380,54120,42390,62100,74440,58190,83140,97510,1,1,1,1,1,1
5,0,2000-2015,16,A,0,All occupations,N,23,Construction,20720,14710,7554,22370,28590,33760,31250,40760,48430,43170,57060,68970,1,1,1,1,1,1
6,0,2000-2015,16,A,0,All occupations,N,31-33,Manufacturing,29810,24150,14370,24810,31770,36550,34710,44460,51090,48470,61660,71760,1,1,1,1,1,1
7,0,2000-2015,16,A,0,All occupations,N,42,Wholesale Trade,14070,11090,6682,24600,31320,36030,34320,43450,50180,47230,59640,69870,1,1,1,1,1,1
8,0,2000-2015,16,A,0,All occupations,N,44-45,Retail Trade,30310,19200,9455,17780,21370,24680,23950,30280,36160,33790,43190,52200,1,1,1,1,1,1
9,0,2000-2015,16,A,0,All occupations,N,48-49,Transportation and Warehousing,19350,13370,7554,23400,29850,33170,33980,43150,47620,48710,60450,65640,1,1,1,1,1,1
10,0,2000-2015,16,A,0,All occupations,N,51,Information,8326,7261,4279,28690,36700,44170,42130,52420,62480,64390,76450,86610,1,1,1,1,1,1
11,0,2000-2015,16,A,0,All occupations,N,52,Finance and Insurance,5384,5317,3376,22620,30490,36990,31790,42350,51190,43500,57510,72790,1,1,1,1,1,1
12,0,2000-2015,16,A,0,All occupations,N,53,Real Estate and Rental and Leasing,4525,3226,1779,21420,26780,30810,30520,38310,43480,42530,52310,60800,1,1,1,1,1,1
13,0,2000-2015,16,A,0,All occupations,N,54,"Professional, Scientific, and Technical Services",35540,27370,13630,41670,47960,50810,62330,70610,74990,88280,100400,108000,1,1,1,1,1,1
14,0,2000-2015,16,A,0,All occupations,N,55,Management of Companies and Enterprises,2916,2615,1816,24020,32330,38250,36440,47610,56520,56190,69730,82250,1,1,1,1,1,1
15,0,2000-2015,16,A,0,All occupations,N,56,"Administrative and Support and Waste
Management and Remediation Services",41020,23430,11100,20480,24350,26180,29350,36560,40410,43640,55480,62470,1,1,1,1,1,1
16,0,2000-2015,16,A,0,All occupations,N,61,Educational Services,8812,9761,6842,26420,30490,34830,41650,45700,49560,57340,62320,66060,1,1,1,1,1,1
17,0,2000-2015,16,A,0,All occupations,N,62,Health Care and Social Assistance,14820,16600,11430,21010,26090,31210,29630,37310,45820,42350,53670,65000,1,1,1,1,1,1
18,0,2000-2015,16,A,0,All occupations,N,71,"Arts, Entertainment, and Recreation",2955,2418,1245,18200,22450,24740,24440,32560,38200,33990,46700,57140,1,1,1,1,1,1
19,0,2000-2015,16,A,0,All occupations,N,72,Accommodation and Food Services,10520,7222,3816,16350,18080,19960,21130,24660,27700,29440,36050,41940,1,1,1,1,1,1
20,0,2000-2015,16,A,0,All occupations,N,81,Other Services (except Public Administration),7501,5521,2865,22120,26560,29730,32460,39360,43680,46110,54270,60720,1,1,1,1,1,1
21,0,2000-2015,16,A,0,All occupations,N,92,Public Administration,19830,21910,14340,26860,35540,39790,34780,45530,52820,43310,59900,72290,1,1,1,1,1,1
22,0,2000-2015,16,A,0,All occupations,N,99,Federal Government,28220,41530,28800,33980,43210,48320,43820,55410,63580,57840,73150,84270,1,1,1,1,1,1
23,0,2000-2015,16,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",A,0,All NAICS sectors,87590,73730,43830,21720,29320,35020,31390,42570,50430,44950,60190,71850,1,1,1,1,1,1
24,0,2000-2015,16,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",N,11,"Agriculture, Forestry, Fishing and Hunting",410,290,160,19370,24430,24730,26280,33520,37030,35100,45350,49020,1,1,1,1,1,1
