label_dod_occ_code,label_industry,y1_emp,y5_emp,y10_emp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings
All occupations,"Agriculture, Forestry, Fishing and Hunting",0.29077296641036016,0.39732528041415016,0.3531233866804337,0.44065126050420167,0.6023508538478598,0.7817425569176882,0.4351918899348298,0.6035621065561185,0.7453200483091788,0.47418181818181815,0.6142215922513583,0.7009650180940892
All occupations,"Mining, Quarrying, and Oil and Gas Extraction",0.9044921084581141,0.6850733390854185,0.4457924625709861,0.1922268907563025,0.21202040363717012,0.2714535901926445,0.22031136857349742,0.23829264547827417,0.2779287439613527,0.24639999999999995,0.2500590597684857,0.2581423401688781
All occupations,Utilities,0.5789154188587616,0.5532786885245902,0.45534331440371717,0.26050420168067234,0.33510756265247277,0.43432574430823123,0.32748008689355534,0.381083985874405,0.4747886473429952,0.4450909090909091,0.4558232931726907,0.516887816646562
All occupations,Real Estate and Rental and Leasing,0.26102792391744234,0.30220017256255394,0.22663913267940114,0.22846638655462181,0.31603459747172324,0.43717162872154114,0.24475018102824042,0.31429448794718257,0.4116847826086957,0.2522181818181818,0.33038034490904794,0.4405307599517491
All occupations,Management of Companies and Enterprises,0.1375961149332254,0.13546160483175151,0.10635002581311306,0.21060924369747902,0.3135950321579064,0.37149737302977237,0.24058653149891385,0.32273913711039454,0.39522946859903385,0.2667636363636363,0.38825891802504137,0.46972255729794926
All occupations,"Arts, Entertainment, and Recreation",0.6865641440712262,0.5038826574633305,0.3182756840474962,0.051207983193277296,0.013306719893546204,0.04159369527145362,0.04127443881245474,0.02379855673268849,0.03894927536231885,0.032727272727272716,0.048783368769194424,0.02762364294330516
"Infantry, Gun Crews, and
Seamanship Specialists","Agriculture, Forestry, Fishing and Hunting",0.16835289356535815,0.15207075064710956,0.11331956633970056,0.37316176470588236,0.4120647593701485,0.5030647985989493,0.3993482983345401,0.40994933210502066,0.46724033816425115,0.4955636363636363,0.49373966454051504,0.45778045838359466
"Infantry, Gun Crews, and
Seamanship Specialists","Mining, Quarrying, and Oil and Gas Extraction",0.29218939700526103,0.20729076790336498,0.11848218895198762,0.08324579831932777,0.10490130849412282,0.16330998248686512,0.08960897900072406,0.11469368954398895,0.18629227053140096,0.10996363636363637,0.13607370659107015,0.20615199034981907
"Infantry, Gun Crews, and
Seamanship Specialists",Utilities,0.12990692027519224,0.10396893874029337,0.06866288074341767,0.22505252100840334,0.21933909957862052,0.2467162872154116,0.2900072411296162,0.2636265929679103,0.3588466183574879,0.4098909090909091,0.36487124970470114,0.3168878166465621
"Infantry, Gun Crews, and
Seamanship Specialists",Wholesale Trade,0.03419668150546338,0.03019844693701467,0.008518327310273618,0.21612394957983194,0.17720115324905739,0.31326619964973734,0.21904417089065886,0.21602947950253343,0.2903079710144928,0.27287272727272727,0.25584691708008506,0.35765983112183347
"Infantry, Gun Crews, and
Seamanship Specialists",Transportation and Warehousing,0.03662484823957912,0.03386540120793788,0.026071244192049564,0.3492647058823529,0.4402306498114881,0.6390105078809106,0.43845039826212884,0.5123598955934285,0.5744263285024155,0.7482181818181819,0.5262225372076541,0.5347406513872135
"Infantry, Gun Crews, and
Seamanship Specialists",Information,0.44779441521651153,0.2810612597066437,0.15771812080536912,0.17568277310924374,0.17964071856287422,0.22263572679509636,0.2085445329471397,0.24167050514355898,0.28291062801932365,0.31796363636363634,0.3236475313016773,0.3037394451145959
"Infantry, Gun Crews, and
Seamanship Specialists",Finance and Insurance,0.07507082152974505,0.09469370146678172,0.07872999483737739,0.34611344537815125,0.25593257928587265,0.33384413309982486,0.42360608254887755,0.30538922155688625,0.34495772946859904,0.5156363636363637,0.3014410583510512,0.2689987937273824
"Infantry, Gun Crews, and
Seamanship Specialists",Real Estate and Rental and Leasing,0.08458114123836503,0.12834339948231233,0.12622612287041818,0.16334033613445376,0.17853182523841205,0.29838003502626975,0.19569152787834898,0.20359281437125748,0.3309178743961353,0.1991272727272727,0.2725017717930546,0.3230398069963812
"Infantry, Gun Crews, and
Seamanship Specialists",Management of Companies and Enterprises,0.09368676649129908,0.07269197584124246,0.04697986577181208,0.04779411764705882,0.0179640718562874,0.05035026269702281,0.042541636495293245,0.027329955473668066,0.05857487922705312,0.0498909090909091,0.06283959366879283,0.032448733413751485
"Infantry, Gun Crews, and
Seamanship Specialists",Educational Services,0.12768110076891948,0.16544434857635892,0.13164687661331956,0.30540966386554624,0.40518962075848297,0.45227670753064797,0.2947139753801593,0.3344081068631966,0.403683574879227,0.25963636363636367,0.3206945428773919,0.34089264173703254
"Infantry, Gun Crews, and
Seamanship Specialists",Health Care and Social Assistance,0.21651153379198707,0.40638481449525454,0.3461538461538462,0.6034663865546219,0.6821911732091371,0.7491243432574431,0.6334178131788558,0.6462459695992628,0.6908212560386474,0.6187636363636363,0.5976848570753603,0.6201447527141133
"Infantry, Gun Crews, and
Seamanship Specialists","Arts, Entertainment, and Recreation",0.08923512747875355,0.06578947368421054,0.035105833763551884,0.59375,0.7660235085384784,0.8390980735551664,0.5999275887038378,0.7274681406417933,0.8198973429951691,0.6487272727272726,0.7082447436806047,0.8673100120627262
"Infantry, Gun Crews, and
Seamanship Specialists",Accommodation and Food Services,0.023472278429785512,0.03300258843830889,0.0302013422818792,0.4101890756302521,0.5843867819915723,0.7981611208406306,0.4174511223750904,0.6387225548902196,0.7078804347826088,0.48509090909090913,0.5709898417198205,0.7218335343787694
"Infantry, Gun Crews, and
Seamanship Specialists",Other Services (except Public Administration),0.4443545123431809,0.3218291630716135,0.1951471347444502,0.2095588235294118,0.2654690618762475,0.33034150612959723,0.23678493845039827,0.29356671272838936,0.3685084541062802,0.2650181818181818,0.33829435388613277,0.413027744270205
